text,label
"“Skilled in Python, machine learning, data analysis, TensorFlow”",1
"“Worked in sales, marketing, and customer service for 3 years”",0
"“Experience in SQL, Python, and building predictive models”",1
“Graphic designer with expertise in Photoshop and Illustrator”,0
"""Skilled in Python, machine learning, data analysis, TensorFlow, and Pandas""",1
"""Experience in SQL, Python, building predictive models, and deep learning""",1
"""Data analysis, visualization using Matplotlib and Seaborn, statistical modeling""",1
"""Natural language processing, NLP pipelines, and text classification projects""",1
"""Worked on neural networks, deep learning, PyTorch, and Keras projects""",1
"""Experienced in regression, classification, clustering, and feature engineering""",1
"""Python developer with experience in data cleaning, wrangling, and analysis""",1
"""Applied statistics, hypothesis testing, and A/B testing for business insights""",1
"""Worked with Spark, Hadoop, and big data pipelines for analytics""",1
"""Built recommendation systems and recommender engines for e-commerce""",1
"""Marketing specialist with 5 years experience in brand strategy and campaigns""",0
"""Sales manager with expertise in retail, client relationships, and product sales""",0
"""Customer service representative with focus on support and query resolution""",0
"""Graphic designer skilled in Photoshop, Illustrator, and Canva""",0
"""Content writer and editor with experience in SEO and blogging""",0
"""Biology researcher with lab experience and experimental analysis""",0
"""Chemistry assistant with experience in lab procedures and chemical analysis""",0
"""Hospitality manager with experience in hotel operations and guest relations""",0
"""Teaching assistant with experience in classroom management and tutoring""",0
"""Cashier and retail associate with point-of-sale experience""",0
